PLWU,PRUJRC,1,0,ETBK,ZRBO@gmail.com
EILX,HKLAZL,0,0,OUWT,AIYW@gmail.com
CRCA,NTWHSQ,0,0,SBVI,YIKQ@gmail.com
TIZC,TLJRUI,0,0,KHIP,JLNT@gmail.com
ZYZA,VFFGFT,1,0,WDJE,WXUU@gmail.com
LNGL,FAOZWT,0,1,OZGK,YMQB@gmail.com
WMNH,PXMQSL,0,0,IQGB,USGM@gmail.com
BUDM,ATZTNF,1,0,KPQF,DBSS@gmail.com
GZOJ,SFTCMB,1,1,AIXP,NJDS@gmail.com
SWXI,QVNSAW,0,1,AVZA,MBKE@gmail.com
YKTO,NPFDYS,0,1,ZFXS,WBUR@gmail.com
PDGX,QACJXS,1,1,OGBJ,MWWE@gmail.com
WVVB,EWYIKZ,1,1,KKKG,MONP@gmail.com
OOKL,ZOUBIY,0,0,VUMP,ADSL@gmail.com
PVTA,NEAMZP,0,1,GKMB,NQHF@gmail.com
FDRB,BOSKSF,0,0,GATL,DPBE@gmail.com
PURD,JLLYXZ,0,1,SIEA,BKXZ@gmail.com
CPVR,BRDEUX,0,1,SFNM,KEIV@gmail.com
WPNQ,TTLHNW,1,0,ZDYT,XFQS@gmail.com
HONU,EBQQHK,0,1,HFBJ,HFOJ@gmail.com
TBMM,LKAKVM,0,0,ZCOT,GABQ@gmail.com
BXYM,SNPSWF,0,0,RCUK,VEWH@gmail.com
TQHM,FMOLZY,0,1,FRZX,DFLJ@gmail.com
QRYJ,EFMIPC,1,1,TKAU,JOOQ@gmail.com
LCXL,DZLHJC,1,1,AFBK,IVMV@gmail.com
UHEJ,XENYIQ,1,0,WGKO,VKHM@gmail.com
TFDQ,IXNAYE,0,1,KOSH,BZLH@gmail.com
NHJR,ZWQJAN,0,0,HYAS,AWVY@gmail.com
ZWLZ,RRQTNF,1,1,EPFM,UOIV@gmail.com
LIHY,ANHQMI,0,1,JWOZ,YVGO@gmail.com
PBZP,XSJMZU,1,1,LSDV,LXDS@gmail.com
TIYW,QRORIS,0,1,QVVR,FFKV@gmail.com
PVJM,QTDLOQ,1,1,ZEPO,HKUG@gmail.com
LCVG,ISQHQS,0,1,QSOP,CHKK@gmail.com
UGVP,ZENURP,1,0,FVVZ,WGXV@gmail.com
HSCK,MKXAPT,0,0,ROJU,HTPF@gmail.com
OUUX,MDYCYT,1,0,RQJM,SVPO@gmail.com
FDQY,GTUUGE,0,0,LCZJ,XJZQ@gmail.com
SDLD,CZXFMM,1,1,BZRT,GTGG@gmail.com
HRSN,QDHRGM,0,1,HZYF,UBPV@gmail.com
LSYM,UPYLPR,1,1,QKXB,LRJE@gmail.com
IJXC,VUGEXK,1,0,VGBJ,XUUR@gmail.com
SQKU,SXJQMP,0,0,ZCTR,GIRL@gmail.com
RHRV,TJXGTE,0,1,CVMO,STHF@gmail.com
NPZF,CZODRT,0,0,SQOH,MIYW@gmail.com
TFRF,EDPMAA,1,0,QDVB,KXMV@gmail.com
DJTC,PAYSLA,1,0,DUDG,NMDW@gmail.com
WCJG,POQMBI,1,0,LNEP,HPZX@gmail.com
OFFJ,CHSTNU,0,1,AZLY,IIJZ@gmail.com
DELO,NPUPYS,1,1,BDQV,PHUA@gmail.com
GSTY,PVULGT,1,1,PVIF,ZYJW@gmail.com
JSOD,KOYNER,0,0,JVYS,KEBZ@gmail.com
SXXO,BYCBMA,0,0,DCET,DBAJ@gmail.com
KUAV,EQEZHP,1,0,URDS,OKIW@gmail.com
NOGO,JLUTLS,1,1,PFWW,ZSJP@gmail.com
LOFZ,NNWFTP,0,0,GCLV,ALPF@gmail.com
QUDV,WIMDFG,1,1,RNHH,NJCM@gmail.com
BDHB,UMGJDM,1,0,DIZE,TXDE@gmail.com
ZLGX,IPJUJK,0,1,HODA,OYPM@gmail.com
TKMI,HVHDJB,0,0,QHTR,CXKF@gmail.com
PUWH,WHAKJT,1,0,DGAH,UGNK@gmail.com
XIHQ,JWKDPM,1,1,BJPQ,RKJY@gmail.com
WGKH,UGTJZL,0,1,AIIN,SBFN@gmail.com
OOGG,HLCQVV,1,1,YIVY,SAKZ@gmail.com
FIFL,AZLCFV,1,1,NRYQ,HZON@gmail.com
HVVX,SUNQNM,1,1,ONKI,RRJU@gmail.com
HJIF,YUREMA,0,0,YDAS,FOYJ@gmail.com
MGYH,ZOICRN,1,1,IRKT,JVBR@gmail.com
KCTK,UJUVEA,1,1,LEGW,QQXU@gmail.com
LIJN,EPULVG,0,1,IGPR,DEZS@gmail.com
SGWE,QCUOXW,1,0,XIXD,USRY@gmail.com
BKSY,EDFJCV,0,0,WUJO,SCZB@gmail.com
JIHB,EYBBVV,0,1,UQLA,NSCU@gmail.com
NQJI,JZTRCM,1,1,UDFP,JRPG@gmail.com
